Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence,BOLD Mean,BOLD Variance,ALFF Mean,ALFF Variance
sleep,4.6132762440641934e-10,3.968253809170216e-10,6.421155781116146e-10,1.3801743923498404e-08,3.674435730997487e-09,3.991071910471103,0.0729209326730796,170.56887325174824,81383.3144842888,2.367845430186131,29.621130312421915
sleep,5.765380988037592e-10,3.373970152722867e-10,3.998490022205168e-10,2.573076230241539e-09,1.1144223893207634e-09,4.016468567428966,0.0420346058591265,146.38487665459542,73158.3239414412,1.896821639393884,24.3037401505141
rest,8.940110139124235e-09,9.112292809249183e-10,2.366350399057544e-10,3.9115658711743834e-10,9.3867485333167e-10,4.075970400204174,0.1076161619495666,152.94977499063435,73836.84184203717,6.3024329334988485,367.3365542063764
sleep,1.0597200848052895e-09,8.42014623518009e-10,1.2792297281200407e-09,1.5283177132459243e-08,3.5508343001305394e-09,4.033322249948971,0.0565116405085004,146.19213279428905,71972.77139179716,1.8971443519556048,23.548333766587923
rest,8.156455305222578e-10,1.5695705491829312e-10,1.2592672110514754e-10,3.6246130854602925e-09,1.566927204160138e-09,4.018168153026725,0.1069112524000736,155.86989816433567,73809.80035473134,2.772562963621271,57.4943173567345
sleep,1.3350701722150533e-08,1.3658216161017742e-09,3.990451063156846e-10,7.581871353346744e-10,9.470484465387772e-10,4.069968160904414,0.0703445907609144,148.14951473526477,73388.26232202159,6.322961253578179,419.1643470656076
sleep,7.26024124554861e-10,4.4622858984958956e-10,5.99530815655711e-10,5.5517703955770564e-09,1.562629048751027e-09,4.02739220828918,0.0762821070345525,146.28580413336664,72783.48586857,1.930316439700536,25.544639733976755
sleep,1.5160438142940719e-09,1.080268394187267e-09,1.6363833479532743e-09,2.016074967002697e-08,5.136185249944368e-09,4.046444756270473,0.0650100370829712,147.1853254557942,71961.81704896671,2.4581203775970457,56.54800115969894
sleep,8.803172754938421e-10,6.455831674441297e-10,9.491001904562054e-10,1.0670658980758578e-08,2.6100468092358474e-09,4.0301095583298645,0.0564650250482709,146.32477219655345,72449.53747907514,1.994989209609641,26.952110995729463
rest,5.762118036844438e-10,3.212673921410536e-10,3.32063475455715e-10,1.901133496061444e-09,8.0118185305035e-10,4.024030636413265,0.0490010762564736,149.07894404033468,72863.20264625688,2.046664493854947,23.611924423031017
sleep,1.144940686868588e-09,7.059862147218972e-10,9.349679799512075e-10,9.645599522236104e-09,2.2105564974962347e-09,4.029555831079967,0.053154025178759,148.43034551906428,71783.29087238309,3.706174423586951,103.89300965596529
rest,5.00195715630151e-10,2.333315445161687e-10,1.7448429738623678e-10,5.615806487315742e-10,6.116312832039322e-10,4.021452865519182,0.046032989212092,148.6327352022977,72278.21640758967,1.7677847336063923,19.24176318417798
sleep,8.849737721315438e-10,6.101130588009201e-10,7.929901805971031e-10,7.959930844435025e-09,1.917235083046283e-09,4.026283859048798,0.0594152524778425,148.8959426823177,72359.77406534799,2.451672983996417,41.17853077067461
sleep,7.446038490045267e-10,4.672613114893728e-10,5.648927267815889e-10,4.6532838501147315e-09,1.312413414782862e-09,4.02545667117713,0.0577160646871787,149.50126513070262,73244.78173630733,1.910220721506294,23.7508226203079
sleep,8.668034548905425e-10,5.252472710865744e-10,6.70505758212508e-10,6.112535756962757e-09,1.6251254901717412e-09,4.02718646320026,0.0756839153208099,149.57367986180486,73064.14146815214,1.964155095911892,24.56360921286761
sleep,8.601202677539168e-10,5.754665071579973e-10,7.408528995013565e-10,7.076006981870634e-09,1.7776638276651631e-09,4.028246644313694,0.1124356700625142,149.13378703588077,72418.96084479534,2.292364711608118,33.817696698853574
sleep,7.575197271196149e-10,3.990202937385638e-10,4.177771716374047e-10,2.878301991918882e-09,9.801754286675327e-10,4.02649049099908,0.0522549220549674,149.3993010218948,73183.92192154963,1.9846047844601205,24.404856485132893
sleep,1.5643132529533398e-09,1.076450600521992e-09,1.5450987910705204e-09,2.1426872158669378e-08,6.550612162431511e-09,4.060715316807087,0.0446202784039862,156.6811883429071,68098.08757477583,2.7974693372580344,51.09391013390521
sleep,2.1266350714830742e-09,1.3823271172193463e-09,2.008046511374439e-09,2.910096527920485e-08,8.394740278936585e-09,4.066343311487167,0.0473104923837302,156.17511060814186,68239.49462468458,3.582921156994099,86.21664596963826
sleep,1.247748206197923e-09,9.053532080708516e-10,1.298597432966445e-09,1.742751179503621e-08,5.542473274040431e-09,4.058084742828143,0.0462311930959316,157.02083590367965,68171.91161524295,2.151021671086612,29.61146218804204
rest,5.226844496134137e-10,3.36889425411448e-10,3.4100990893128576e-10,2.868769453099504e-09,1.5799174142316392e-09,4.078507041662593,0.0457016775643649,156.77982526848152,67132.00378810393,1.8070689367070865,19.70810376421358
sleep,1.9433453981620184e-09,1.2287879516922726e-09,1.789705404536304e-09,2.5400696326721647e-08,7.54486049692995e-09,4.062997268772651,0.0412778641360879,156.1796421911422,68189.88092234351,2.807744006642348,54.01764896585327
rest,6.506317718791322e-10,4.840078318770143e-10,5.98778322477124e-10,6.561377495129836e-09,2.6351800321223787e-09,4.05320375354497,0.0542182454444538,157.42514886675824,67527.01591032601,1.755739001016816,15.276008057998707
sleep,8.19365544502388e-10,5.724372035283416e-10,7.327870555022174e-10,8.565515641997634e-09,3.1358381303736982e-09,4.055084354865038,0.0473986216705026,157.4673185772561,67246.93373616219,1.7901842552020366,17.4606067266426
sleep,1.1066053144729092e-09,7.925536930761544e-10,1.062574303069498e-09,1.3504812383785092e-08,4.545669539898119e-09,4.0590109448244345,0.0583699527581817,157.23817405511156,67647.08347412666,2.2952297484103945,30.40780803223149
rest,6.158901404682005e-10,3.478435681648749e-10,4.3770867271119587e-10,4.639521757444264e-09,2.1176597917653507e-09,3.9771183834271344,0.0011022014712511,155.9697569773976,77578.20428779797,2.098276376647993,26.84002614948751
sleep,7.618648890713333e-10,4.699107857141661e-10,6.05479523310508e-10,6.737053141599864e-09,2.65267623874478e-09,3.987010708833629,0.0080701387496505,154.71875052031302,79251.013364223,2.204705399793367,30.68281142132621
rest,7.58831945120053e-10,4.059555877838686e-10,5.109834922117787e-10,5.482543939616809e-09,2.371444044137169e-09,3.984832609068647,-0.0024563012587432,154.37226551573426,78407.98312961221,2.045253853596525,25.24236884714309
sleep,9.797028934388087e-10,5.53368663465718e-10,7.31922920528156e-10,8.567525296897125e-09,3.152602228856989e-09,3.992361535415152,0.009197504286621,154.80060198135195,79105.2221249415,3.040541824366478,78.44033720442178
sleep,1.1776104239228634e-09,6.404110744937084e-10,7.833980930776057e-10,9.284381737565264e-09,3.35335799343337e-09,3.9959614265087495,-0.0009467520895601,153.0533681422744,78828.8417512107,2.863115190500885,57.54470844587794
sleep,2.232462593302691e-09,6.793217790818706e-10,5.370267872515475e-10,4.520038597734e-09,1.8572150321695766e-09,4.015494113964983,0.0433045344519894,135.38835824592076,66300.97399278716,5.873312665717729,277.8306866066086
rest,4.874146705531523e-10,1.75209663512129e-10,7.238462132701588e-11,1.6019327436133946e-10,7.29686097943184e-10,3.968834839589425,-0.0069265467018924,138.021847746004,68542.61128600623,2.995129319470366,54.2472070258996
sleep,8.23028499391269e-10,2.69266799027359e-10,2.1936805234591967e-10,1.253344499031425e-09,1.079494157126162e-09,4.016840100788135,0.0126171437868089,150.06658383283383,73884.76469918997,3.920750901070658,94.27851607402654
sleep,7.041096342445867e-09,1.006702747201024e-09,6.229943553570117e-10,3.319579391394568e-09,1.65569623307951e-09,4.068418459764766,0.025070508322768,136.55511623792873,66683.66837497515,6.533845479490412,410.18524022815546
rest,4.73301750279529e-10,1.994062143467926e-10,9.756711155678523e-11,3.2503734250977086e-10,8.445723262698043e-10,3.970546137891189,-0.0061443014648619,137.60412272102897,68095.9064675246,1.938088084923536,21.998585845134816
sleep,1.198273512217477e-09,3.7315541640198814e-10,3.143559873539484e-10,2.1752790396491987e-09,1.3658059976467167e-09,3.997835908527665,0.009430605396604,136.84998489010988,66393.79852801736,3.784434888618243,125.59815382117682
sleep,1.574535053502683e-09,5.88305398137036e-10,3.0437529991133817e-10,1.310708568551659e-09,1.320719019974974e-09,4.058066210775216,0.0669591479690171,126.3085812937063,46684.43086033574,3.8823657100235263,91.35251043909564
