Subject,Run,Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence
10,4,sleep,8.601202677539168e-10,5.754665071579973e-10,7.408528995013565e-10,7.076006981870634e-09,1.7776638276651631e-09,4.028246644313694,0.1124356700625142
10,1,sleep,7.575197271196149e-10,3.990202937385638e-10,4.177771716374047e-10,2.878301991918882e-09,9.801754286675327e-10,4.02649049099908,0.0522549220549674
11,4,sleep,1.5643132529533398e-09,1.076450600521992e-09,1.5450987910705204e-09,2.1426872158669378e-08,6.550612162431511e-09,4.060715316807087,0.0446202784039862
11,6,sleep,2.1266350714830742e-09,1.3823271172193463e-09,2.008046511374439e-09,2.910096527920485e-08,8.394740278936585e-09,4.066343311487167,0.0473104923837302
11,3,sleep,1.247748206197923e-09,9.053532080708516e-10,1.2985974329664452e-09,1.742751179503621e-08,5.542473274040431e-09,4.058084742828143,0.0462311930959316
11,1,rest,5.226844496134137e-10,3.36889425411448e-10,3.4100990893128576e-10,2.868769453099504e-09,1.5799174142316396e-09,4.078507041662593,0.0457016775643649
11,5,sleep,1.9433453981620184e-09,1.2287879516922726e-09,1.789705404536304e-09,2.5400696326721647e-08,7.54486049692995e-09,4.062997268772651,0.0412778641360879
11,2,rest,6.506317718791324e-10,4.840078318770143e-10,5.987783224771241e-10,6.561377495129836e-09,2.6351800321223787e-09,4.05320375354497,0.0542182454444538
11,1,sleep,8.193655445023882e-10,5.724372035283416e-10,7.327870555022174e-10,8.565515641997634e-09,3.1358381303736982e-09,4.055084354865038,0.0473986216705026
11,2,sleep,1.1066053144729096e-09,7.925536930761546e-10,1.062574303069498e-09,1.3504812383785092e-08,4.545669539898119e-09,4.0590109448244345,0.0583699527581817
12,1,rest,6.158901404682005e-10,3.478435681648749e-10,4.3770867271119587e-10,4.639521757444264e-09,2.1176597917653507e-09,3.9771183834271344,0.0011022014712511
12,1,sleep,7.618648890713333e-10,4.699107857141661e-10,6.05479523310508e-10,6.737053141599864e-09,2.65267623874478e-09,3.987010708833629,0.0080701387496505
12,2,rest,7.588319451200532e-10,4.059555877838686e-10,5.109834922117787e-10,5.482543939616809e-09,2.371444044137169e-09,3.984832609068647,-0.0024563012587432
12,2,sleep,9.797028934388087e-10,5.53368663465718e-10,7.31922920528156e-10,8.567525296897125e-09,3.1526022288569893e-09,3.992361535415152,0.009197504286621
12,3,sleep,1.1776104239228634e-09,6.404110744937084e-10,7.833980930776057e-10,9.284381737565264e-09,3.35335799343337e-09,3.9959614265087495,-0.0009467520895601
13,4,sleep,2.232462593302691e-09,6.793217790818708e-10,5.370267872515475e-10,4.520038597734e-09,1.8572150321695766e-09,4.015494113964983,0.0433045344519894
13,1,rest,4.874146705531525e-10,1.7520966351212902e-10,7.238462132701588e-11,1.6019327436133946e-10,7.29686097943184e-10,3.968834839589425,-0.0069265467018924
13,1,sleep,8.230284993912692e-10,2.69266799027359e-10,2.1936805234591972e-10,1.253344499031425e-09,1.079494157126162e-09,4.016840100788135,0.0126171437868089
13,3,sleep,7.041096342445867e-09,1.006702747201024e-09,6.229943553570117e-10,3.3195793913945692e-09,1.65569623307951e-09,4.068418459764766,0.025070508322768
13,2,rest,4.73301750279529e-10,1.994062143467926e-10,9.756711155678523e-11,3.2503734250977086e-10,8.445723262698043e-10,3.970546137891189,-0.0061443014648619
13,2,sleep,1.1982735122174774e-09,3.7315541640198814e-10,3.143559873539484e-10,2.1752790396491987e-09,1.3658059976467167e-09,3.997835908527665,0.009430605396604
14,7,sleep,1.574535053502683e-09,5.883053981370362e-10,3.0437529991133817e-10,1.310708568551659e-09,1.3207190199749744e-09,4.058066210775216,0.0669591479690171
14,1,rest,9.901767530876787e-10,4.0778072055097044e-10,1.3847782266589029e-10,2.6674458796939203e-10,1.2536758248333403e-09,4.052207272327202,0.0517581958043669
14,2,sleep,1.0206494395139766e-09,3.7720099412663586e-10,1.3586903443510038e-10,3.0654951967284337e-10,1.2193436357009862e-09,4.045343997812566,0.0479495610673376
14,4,sleep,2.515344091752283e-09,7.043620847137726e-10,2.7375162912872827e-10,6.233327254355572e-10,1.252221853391504e-09,4.071007641549044,0.0516265426960376
14,2,rest,1.661463149909025e-09,5.641602171796268e-10,2.556281488111689e-10,2.8090626119252406e-10,1.2880431135850746e-09,4.0631551503298855,0.0517362788592213
14,6,sleep,1.616371727585621e-09,5.76897853538665e-10,2.933333443445641e-10,9.929403823209314e-10,1.209421589898464e-09,4.064528918793871,0.0593150879373212
14,1,sleep,2.2617136994893193e-09,7.295070097827821e-10,2.968845141352392e-10,3.2947772895862216e-10,1.2804029967753582e-09,4.071380458733036,0.0573320372393632
14,3,sleep,1.1265387944492712e-09,4.990758185359398e-10,1.6751857882576662e-10,3.909191901642241e-10,1.2233473709036659e-09,4.045360455142264,0.0717767673894572
14,5,sleep,1.6633991843682086e-09,5.806524328113884e-10,2.7714367551127146e-10,8.583976500742077e-10,1.2297527869010616e-09,4.060367118095822,0.0492086248251319
15,4,sleep,4.72948174396527e-10,1.801561475162904e-10,6.385508190461776e-11,1.0114988140159042e-10,5.347869690735147e-10,4.013379839090945,0.0038246003412202
15,1,rest,5.760240641371254e-10,1.8160673132989763e-10,3.802479580110516e-11,7.661250252923481e-10,6.211016049487255e-10,4.012894491662834,-0.0013886434114158
15,2,rest,5.928531782757543e-10,1.5927357187973919e-10,3.7803581548453556e-11,5.145866731041071e-10,5.022091465243313e-10,4.014814818675175,-0.0009200397114406
15,5,sleep,5.117114950362337e-10,1.847388152554334e-10,7.728732369198784e-11,1.9008868442224849e-10,5.82172611030271e-10,4.014357626432613,0.0184468419674668
15,1,sleep,6.284406488851244e-10,1.4441768836173646e-10,4.0530290794435305e-11,2.9234085891135427e-10,4.691020808569003e-10,4.014672669883922,0.0007932983088091
