Subject,Run,Task,BOLD Mean,BOLD Variance,ALFF Mean,ALFF Variance
17,2,rest,165.04729829545454,73004.83475968645,2.287443597049107,30.680769871076983
17,3,sleep,165.15785051406925,73144.85049670801,3.833977013436049,109.14324533627992
17,7,sleep,162.50286346986346,72593.74675678568,5.34228612884095,223.3795219140718
18,1,sleep,169.27071903096902,81601.78689085977,4.545223173298184,126.36634758743234
18,3,sleep,167.64290886197136,80679.5628305118,3.551902575520371,88.69949112619837
18,5,sleep,167.50668572052948,80348.45344225157,3.4902919829609544,65.36043116324088
18,1,rest,144.8584310221029,59029.801030448754,2.441732082691459,33.58997625077511
18,2,sleep,168.77470893689645,80533.55010261964,3.703630626425012,93.19517469434672
18,2,rest,144.26749801760738,59236.93742703168,2.180843148206626,22.075886286187643
18,4,sleep,167.64502353896103,80115.54855993536,3.654829637526003,81.4095040622977
19,1,rest,132.81820925949052,51355.07993348919,2.438661696310171,35.2581372185101
19,1,sleep,131.91022788669665,51052.71303369768,2.517162385993734,35.16888470748829
19,5,sleep,130.58856831709957,51169.38508176892,3.918408309154585,94.15445509401708
19,4,sleep,131.32284727772227,51336.57389786117,3.860214175015346,105.73457445464577
19,2,sleep,131.68746133033633,51394.41199733968,2.859965808337252,47.85068841204271
19,3,sleep,131.31567068348318,51401.85545778897,2.896143496797383,50.218475433965565
19,2,rest,131.4229347371379,50889.05915466388,2.664509741653046,45.6596579696112
20,4,sleep,189.2772298742924,91807.74680830677,3.706380739508552,101.88319118977395
20,2,sleep,190.28556795288048,92063.72729557936,2.81041553160718,45.37264037843802
20,1,rest,189.63384734015983,92433.97810802227,2.7213988986399955,45.57584772617516
20,5,sleep,188.18862054612052,91945.5052616374,3.900936041984838,122.34749264474031
20,2,rest,190.61096586226276,92321.51604306493,2.9866469068068406,54.27146992600076
20,3,sleep,189.9837800012488,91916.54156161829,2.6523089679131897,38.33428999489005
20,1,sleep,190.4248456543457,91940.16418823824,2.492343628506917,34.454559831278345
21,2,rest,155.13643309815183,83159.4068424906,2.6218839014774544,39.96571775487951
21,1,rest,154.27230610014985,82150.4262180814,2.590545990878008,43.96505062172669
22,1,rest,168.22153284215784,91726.71086069994,2.032457081507935,36.56784063486841
22,4,sleep,169.90538393897768,92302.2567875299,2.8259271839329982,50.11246691861031
22,2,rest,168.5975290959041,91727.16899185286,2.44300554433494,64.28093978285216
22,2,sleep,169.66791330544456,92648.16661554042,2.6158288597385835,51.08993983328408
22,1,sleep,169.03901678529803,92439.32413077728,2.405701196058597,37.12722728870131
22,5,sleep,170.2352694493007,92451.7003226016,2.401031967865129,39.686757633010885
22,7,sleep,169.59785711163835,92097.18110509598,2.7483489301216943,53.39206785591716
22,3,sleep,169.79142936230437,92159.2736003123,2.953554933134668,57.98085055400971
22,6,sleep,169.42446201714952,92071.34721230356,2.4713708119622035,37.61366012069924
22,8,sleep,169.55751914751914,91599.57952916836,2.83587710155221,65.56853392071437
23,4,sleep,148.0490152139527,59144.37517439023,2.121122609532098,28.704613043879046
23,3,sleep,148.32558248002,59805.10332453262,1.5173503923185276,7.883720176639104
23,2,rest,146.02077701985513,58380.61656964223,2.5612080724484656,42.2101030224229
